entity_type,entity_id,center_name,identity_source_id,identity_record_id,identity_basis
county,1060006,بهبهان,geonames-iran-2026-09-19,140951,geonames_admin_feature
county,1060007,خرمشهر,geonames-iran-2026-09-19,127319,geonames_admin_feature
county,1060008,دزفول,geonames-iran-2026-09-19,136256,geonames_admin_feature
county,1060009,سوسنگرد,geonames-iran-2026-09-19,137268,geonames_admin_feature
county,1070001,آباده,geonames-iran-2026-09-19,145449,geonames_admin_feature
county,1070002,استهبان,geonames-iran-2026-09-19,135094,geonames_admin_feature
county,1070003,اقلید,geonames-iran-2026-09-19,135355,geonames_admin_feature
county,1070004,جهرم,geonames-iran-2026-09-19,130531,geonames_admin_feature
county,1070005,داراب,geonames-iran-2026-09-19,137956,geonames_admin_feature
county,1070006,اردکان,geonames-iran-2026-09-19,403656,geonames_admin_feature
county,1070007,شیراز,geonames-iran-2026-09-19,115019,geonames_admin_feature
county,1070008,فسا,geonames-iran-2026-09-19,134721,geonames_admin_feature
county,1070009,فیروزآباد,geonames-iran-2026-09-19,134518,geonames_admin_feature
county,1080001,بافت,geonames-iran-2026-09-19,142247,geonames_admin_feature
county,1080002,بم,geonames-iran-2026-09-19,141736,geonames_admin_feature
county,1080003,جیرفت,geonames-iran-2026-09-19,6925362,geonames_admin_feature
county,1080004,رفسنجان,geonames-iran-2026-09-19,118994,geonames_admin_feature
county,1080005,زرند,geonames-iran-2026-09-19,111421,geonames_admin_feature
county,1080006,سیرجان,coordinate-center-verification-2026-09-19,county:1080006,verified_override
county,1080007,شهربابک,geonames-iran-2026-09-19,115781,geonames_admin_feature
county,1080008,کرمان,geonames-iran-2026-09-19,128234,geonames_admin_feature
county,1080009,کهنوج,geonames-iran-2026-09-19,6961608,geonames_admin_feature
county,1090004,تایباد,geonames-iran-2026-09-19,1159384,geonames_admin_feature
county,1090005,تربت حیدریه,geonames-iran-2026-09-19,112646,geonames_admin_feature
county,1090006,تربت جام,geonames-iran-2026-09-19,1159362,geonames_admin_feature
county,1090007,درگز,geonames-iran-2026-09-19,137585,geonames_admin_feature
county,1090008,سبزوار,coordinate-center-verification-2026-09-19,county:1090008,verified_override
county,1100001,اردستان,geonames-iran-2026-09-19,143052,geonames_admin_feature
county,1100002,اصفهان,geonames-iran-2026-09-19,418863,geonames_admin_feature
county,1100003,خمینی شهر,geonames-iran-2026-09-19,418710,geonames_admin_feature
county,1100004,خوانسار,geonames-iran-2026-09-19,127033,geonames_admin_feature
county,1100005,سمیرم,geonames-iran-2026-09-19,116406,geonames_admin_feature
county,1100006,داران,geonames-iran-2026-09-19,137929,geonames_admin_feature
county,1100007,فریدونشهر,geonames-iran-2026-09-19,134601,geonames_admin_feature
county,1100008,فلاورجان,geonames-iran-2026-09-19,418851,geonames_admin_feature
county,1100009,شهرضا,geonames-iran-2026-09-19,418533,geonames_admin_feature
county,1110001,ایرانشهر,geonames-iran-2026-09-19,1160939,geonames_admin_feature
county,1110002,چاه بهار,geonames-iran-2026-09-19,1161724,geonames_admin_feature
county,1110003,خاش,geonames-iran-2026-09-19,1160571,geonames_admin_feature
county,1110004,زابل,geonames-iran-2026-09-19,1113217,geonames_admin_feature
county,1110005,زاهدان,geonames-iran-2026-09-19,1159301,geonames_admin_feature
county,1110006,سراوان,geonames-iran-2026-09-19,1159713,geonames_admin_feature
county,1110007,نیک شهر,geonames-iran-2026-09-19,1160110,geonames_admin_feature
county,1110008,راسک,geonames-iran-2026-09-19,1159836,geonames_admin_feature
county,1110009,کنارک,geonames-iran-2026-09-19,1160500,geonames_admin_feature
county,1120001,بانه,geonames-iran-2026-09-19,141584,geonames_admin_feature
county,1120002,بیجار,coordinate-center-verification-2026-09-19,county:1120002,verified_override
county,1120003,سقز,coordinate-center-verification-2026-09-19,county:1120003,verified_override
county,1120004,سنندج,geonames-iran-2026-09-19,117574,geonames_admin_feature
county,1120005,قروه,geonames-iran-2026-09-19,119161,geonames_admin_feature
county,1120006,مریوان,geonames-iran-2026-09-19,124778,geonames_admin_feature
county,1120007,دیواندره,geonames-iran-2026-09-19,136156,geonames_admin_feature
county,1120008,کامیاران,geonames-iran-2026-09-19,128905,geonames_admin_feature
county,1120009,سروآباد,geonames-iran-2026-09-19,116739,geonames_admin_feature
county,1130001,تویسرکان,geonames-iran-2026-09-19,112422,geonames_admin_feature
county,1130002,ملایر,geonames-iran-2026-09-19,125185,geonames_admin_feature
county,1130003,نهاوند,geonames-iran-2026-09-19,122915,geonames_admin_feature
county,1130004,همدان,geonames-iran-2026-09-19,132144,geonames_admin_feature
county,1130005,کبودرآهنگ,geonames-iran-2026-09-19,129904,geonames_admin_feature
county,1130006,اسدآباد,geonames-iran-2026-09-19,142872,geonames_admin_feature
county,1130007,بهار,geonames-iran-2026-09-19,142000,geonames_admin_feature
county,1130008,رزن,geonames-iran-2026-09-19,118681,geonames_admin_feature
county,1130009,فامنین,geonames-iran-2026-09-19,134906,geonames_admin_feature
county,1140001,بروجن,geonames-iran-2026-09-19,140046,geonames_admin_feature
county,1140002,شهرکرد,geonames-iran-2026-09-19,115770,geonames_admin_feature
county,1140003,فارسان,geonames-iran-2026-09-19,134762,geonames_admin_feature
county,1140004,لردگان,geonames-iran-2026-09-19,125609,geonames_admin_feature
county,1140005,اردل,geonames-iran-2026-09-19,143070,geonames_admin_feature
county,1140006,چلگرد,geonames-iran-2026-09-19,138799,geonames_admin_feature
county,1140007,شلمزار,geonames-iran-2026-09-19,115607,geonames_admin_feature
county,1140008,سامان,geonames-iran-2026-09-19,117627,geonames_admin_feature
county,1140009,بن,geonames-iran-2026-09-19,140891,geonames_admin_feature
county,1150001,الیگودرز,geonames-iran-2026-09-19,143921,geonames_admin_feature
county,1150002,بروجرد,geonames-iran-2026-09-19,140044,geonames_admin_feature
county,1150003,خرم آباد,geonames-iran-2026-09-19,127349,geonames_admin_feature
county,1150004,نورآباد,geonames-iran-2026-09-19,24851,geonames_admin_feature
county,1150005,دورود,geonames-iran-2026-09-19,135878,geonames_admin_feature
county,1150006,کوهدشت,geonames-iran-2026-09-19,126409,geonames_admin_feature
county,1150007,ازنا,geonames-iran-2026-09-19,142497,geonames_admin_feature
county,1150008,پلدختر,geonames-iran-2026-09-19,120949,geonames_admin_feature
county,1150009,الشتر,geonames-iran-2026-09-19,144269,geonames_admin_feature
county,1160001,ایلام,geonames-iran-2026-09-19,130802,geonames_admin_feature
county,1160002,دره شهر,geonames-iran-2026-09-19,137436,geonames_admin_feature
county,1160003,دهلران,geonames-iran-2026-09-19,136702,geonames_admin_feature
county,1160004,سرابله,geonames-iran-2026-09-19,117304,geonames_admin_feature
county,1160005,مهران,geonames-iran-2026-09-19,124291,geonames_admin_feature
county,1160006,آبدانان,geonames-iran-2026-09-19,145233,geonames_admin_feature
county,1160007,ایوان,geonames-iran-2026-09-19,129929,geonames_admin_feature
county,1160008,ارکواز,geonames-iran-2026-09-19,120539,geonames_admin_feature
county,1160009,لومار,geonames-iran-2026-09-19,401555,geonames_admin_feature
county,1170001,یاسوج,geonames-iran-2026-09-19,66093,geonames_admin_feature
county,1170002,دهدشت,geonames-iran-2026-09-19,136987,geonames_admin_feature
county,1170003,دوگنبدان,coordinate-center-verification-2026-09-19,county:1170003,verified_override
county,1170004,سی سخت,geonames-iran-2026-09-19,137013,geonames_admin_feature
county,1170005,لیکک,geonames-iran-2026-09-19,125688,geonames_admin_feature
county,1170006,چرام,geonames-iran-2026-09-19,138989,geonames_admin_feature
county,1170007,باشت,geonames-iran-2026-09-19,141124,geonames_admin_feature
county,1170008,لنده,geonames-iran-2026-09-19,125726,geonames_admin_feature
county,1170009,مارگون,geonames-iran-2026-09-19,124771,geonames_admin_feature
county,1180001,بوشهر,geonames-iran-2026-09-19,139817,geonames_admin_feature
county,1180002,اهرم,geonames-iran-2026-09-19,144484,geonames_admin_feature
county,1180003,برازجان,geonames-iran-2026-09-19,140097,geonames_admin_feature
county,1180004,خورموج,geonames-iran-2026-09-19,127014,geonames_admin_feature
county,1180005,بندردیر,geonames-iran-2026-09-19,136280,geonames_admin_feature
county,1180006,بندرکنگان,coordinate-center-verification-2026-09-19,county:1180006,verified_override
county,1180007,بندرگناوه,geonames-iran-2026-09-19,134217,geonames_admin_feature
county,1180008,بندردیلم,geonames-iran-2026-09-19,141676,geonames_admin_feature
county,1180009,جم,geonames-iran-2026-09-19,130451,geonames_admin_feature
county,1190001,ابهر,geonames-iran-2026-09-19,145034,geonames_admin_feature
county,1190003,قیدار,coordinate-center-verification-2026-09-19,county:1190003,verified_override
county,1190004,زنجان,geonames-iran-2026-09-19,111453,geonames_admin_feature
county,1190006,زرین آباد,geonames-iran-2026-09-19,111246,geonames_admin_feature
county,1190007,خرمدره,geonames-iran-2026-09-19,41210,geonames_admin_feature
county,1190008,آب بر,geonames-iran-2026-09-19,145407,geonames_admin_feature
county,1190009,ماه نشان,geonames-iran-2026-09-19,125290,geonames_admin_feature
county,1200001,دامغان,geonames-iran-2026-09-19,138025,geonames_admin_feature
county,1200002,سمنان,geonames-iran-2026-09-19,116402,geonames_admin_feature
county,1200003,شاهرود,coordinate-center-verification-2026-09-19,county:1200003,verified_override
county,1200004,گرمسار,geonames-iran-2026-09-19,133964,geonames_admin_feature
county,1200005,مهدی شهر,geonames-iran-2026-09-19,7100777,geonames_admin_feature
county,1200006,آرادان,geonames-iran-2026-09-19,143129,geonames_admin_feature
county,1200007,میامی,coordinate-center-verification-2026-09-19,county:1200007,verified_override
county,1200008,سرخه,geonames-iran-2026-09-19,113952,geonames_admin_feature
county,1210001,اردکان,geonames-iran-2026-09-19,143073,geonames_admin_feature
county,1210002,بافق,geonames-iran-2026-09-19,142255,geonames_admin_feature
county,1210003,تفت,geonames-iran-2026-09-19,113632,geonames_admin_feature
county,1210004,مهریز,geonames-iran-2026-09-19,124274,geonames_admin_feature
county,1210005,یزد,geonames-iran-2026-09-19,111822,geonames_admin_feature
county,1210006,میبد,geonames-iran-2026-09-19,124193,geonames_admin_feature
county,1210007,ابرکوه,geonames-iran-2026-09-19,145427,geonames_admin_feature
county,1210008,اشکذر,geonames-iran-2026-09-19,66250,geonames_admin_feature
county,1210009,هرات,geonames-iran-2026-09-19,113556,geonames_admin_feature
county,1220001,ابوموسی,coordinate-center-verification-2026-09-19,county:1220001,verified_override
county,1220002,بندر عباس,geonames-iran-2026-09-19,141681,geonames_admin_feature
county,1220003,بندر لنگه,geonames-iran-2026-09-19,141665,geonames_admin_feature
