geonameid	name	asciiname	alternatenames	latitude	longitude	feature_class	feature_code	country_code	cc2	admin1_code	admin2_code	admin3_code	admin4_code	population	elevation	dem	timezone	modification_date
66093	Yasuj	Yasuj	Jasudz,Jasudzh,Jasudż,Jasudž,Jásúdž,YES,Yasooj,Yasuc,Yasudsch,Yasuj,Yasûc,Yesuj,Yesūj,Yāsūj,ya su ji,yasuj,yasuja,yasujeu,yasuju,yaswj,yiswj,yswj,Ёсӯҷ,Ясудж,Յասուջ,ياسوج,يَسُّج,يِسوج,یاسوج,یسوج,यासूज,ヤースージュ,亞蘇季,야수즈	30.66824	51.58796	P	PPLA	IR		05				96786		1841	Asia/Tehran	2013-11-10
66250	Ashkez̄ar	Ashkezar	Ash Kuzar,Ashk Dez,Ashkakzar,Ashkazar,Ashkaz̄ar,Ashkezar,Ashkez̄ar,Askizar,Askīzār,aashkadhar,aaskyzar,ashkakzar,ashkdhr,Āshkakzār,آشكَكزار,اشکذر,اَسكيزار,اَشكَذَر	31.99679	54.20852	P	PPLA2	IR		40	449721			19123		1175	Asia/Tehran	2026-07-04
110831	Āzādshahr	Azadshahr	Azadshahr,Shah Pasand,Shāh Pasand,azad shhr,shah psnd,Āzādshahr,آزاد شهر,شاه پسند	37.08641	55.17222	P	PPLA2	IR		37				47590		127	Asia/Tehran	2024-07-21
111246	Zarrīnābād	Zarrinabad	Zarinabad,Zarrinabad,Zarrīnābād,zryn abad,زرین آباد	36.42622	48.28158	P	PPLA2	IR		36				2374		1750	Asia/Tehran	2026-04-22
111327	Zarqān	Zarqan	Zargan,Zarghanak,Zargān,Zarqan,Zarqān,zrqan,زرقان	29.77237	52.71891	P	PPL	IR		07				32261		1582	Asia/Tehran	2026-05-13
111407	Zārach	Zarach	Ashkezar,Ashkeẕar,Zarach,Zarej,Zarj,Zārach,Zārj,ashkdhr,zarch,zarij,zarj,اشکذر,زارج,زارچ,زَرِج	31.99111	54.23194	P	PPLA2	IR		40				11691		1181	Asia/Tehran	2026-05-21
111421	Zarand	Zarand	Zarand,zrnd,زرند	30.81271	56.56399	P	PPLA2	IR		29				58983		1656	Asia/Tehran	2014-09-04
111431	Zarābād	Zarabad	Zarabad,Zarābād,zr abad,زر آباد	25.58263	59.36161	P	PPL	IR		04				0		12	Asia/Tehran	2024-07-21
111453	Zanjan	Zanjan	JWN,Zandschan,Zandzan,Zandžan,Zanjan,Zanjān,Zendzhan,Zenjan,Zenjān,Zəncan,znjan,Зенджан,زنجان	36.67642	48.49628	P	PPLA	IR		36				357471		1666	Asia/Tehran	2024-07-21
111822	Yazd	Yazd	AZD,Dakbayan sa Yazd,Giaznt,Isatis,Jasd,Jazd,Jazdo,Jezd,Jezdas,Kath,Yasd,Yazd,Yezd,Yəzd,iezdi,ya ci de,yajeudeu,yazda,yazudo,yzd,Γιαζντ,Јазд,Йезд,Язд,Յազդ,יזד,يزد,یزد,यज़्द,იეზდი,ヤズド,亚兹德,야즈드	31.89722	54.3675	P	PPLA	IR		40				477905		1216	Asia/Tehran	2026-05-13
112121	Varazqān	Varazqan	Varazqan,Varazqān,Varezqan,Varezqān,Varzagan,Varzaghan Dezmar,Varzagān,Varzaqan,Varzaqān,Verazgan,Verazqan,Verazqān,warzagan,warzaghan dizmar,wirazgan,wrzqan,ورزقان,وَرزَغَن دِزمَر,وَرزَگان,وِرَزگَن	38.67549	46.11205	P	PPLA2	IR		33				5348		1532	Asia/Tehran	2026-07-21
112124	Varzaneh	Varzaneh	Varzaneh,Varzineh,wrznh,ورزنه	33.54218	50.50106	P	PPLA2	IR		28				12714		1776	Asia/Tehran	2026-06-01
112179	Fardīs	Fardis	Fardis,Fardīs,Vardish,Vardīsh,Wardi,Wārdi,frdys,wardysh,فرديس,وَرديش	35.7292	50.98483	P	PPLA2	IR		44				0		1237	Asia/Tehran	2024-07-25
112214	Varāmīn	Varamin	Esfandabad,Esfandābād,Varamin,Varāmīn,Veramin,Verāmin,varamin,wramyn,Варамин,ورامين	35.3242	51.6457	P	PPLA2	IR		26				225628		920	Asia/Tehran	2026-05-17
112422	Tūyserkān	Tuyserkan	Tooyserkan,Tuisarkan,Tuysarkan,Tuyserkan,Tūysarkān,Tūyserkān,Tūīsarkān,tuysirkan,twysrkan,تویسرکان,تُّيسِركَن	34.551	48.44353	P	PPLA2	IR		09				50455		1829	Asia/Tehran	2026-04-25
112535	Tūdeshk	Tudeshk	Toodeshk,Tudashk,Tudasht,Tudeshg,Tudeshk,Tūdasht,Tūdeshg,Tūdeshk,twdshg,twdshk,تودشک,تودشگ	32.7207	52.6709	P	PPL	IR		28				0		2030	Asia/Tehran	2026-06-17
112616	Ţorqabeh	Torqabeh	Targhobeh,Toroqbeh,Torqabeh,Torqebeh,trqbh,Ţoroqbeh,Ţorqabeh,طرقبه	36.3104	59.3735	P	PPLA2	IR		42	9526260			20998		1316	Asia/Tehran	2026-06-21
112634	Torkamān	Torkaman	Torkaman,Torkaman Chay,Torkamān,Torkamān Chāy,Turkmanchai,Turkmānchāi,trkman,ترکمان	37.5853	47.3896	P	PPL	IR		33				7443		1620	Asia/Tehran	2026-03-04
112646	Torbat-e Ḩeydarīyeh	Torbat-e Heydariyeh	Torbat-e Heydariyeh,Torbat-e Ḩeydarīyeh,Torbat-e-Heydari,Torbete-Khejderie,Turbat-i-Haidari,Turbet-i-Haidari,trbt hydryh,Торбете-Хейдерие,تربت حیدریه	35.27401	59.21949	P	PPLA2	IR		42				140019		1351	Asia/Tehran	2026-09-14
112656	Tonekābon	Tonekabon	Shahsavar,Shahsavār,Shahsawar,Shahsawār,Tonekabon,Tonekābon,tnkabn,Тонекабон,تنکابن	36.81626	50.87376	P	PPLA2	IR		35				37501		-15	Asia/Tehran	2024-07-22
