county_id,county_name,province_id,center_name,latitude,longitude,source_id,source_feature_id,source_name
1070005,داراب,107,داراب,28.75171,54.54065,geonames-iran-2026-09-19,137956,Dārāb
1070006,سپیدان,107,اردکان,30.25961,51.98491,geonames-iran-2026-09-19,403656,Ārdaḵān
1070007,شیراز,107,شیراز,29.61031,52.53113,geonames-iran-2026-09-19,115019,Shiraz
1070008,فسا,107,فسا,28.9383,53.6482,geonames-iran-2026-09-19,134721,Fasā
1070009,فیروزآباد,107,فیروزآباد,28.84459,52.57151,geonames-iran-2026-09-19,134518,Fīrūzābād
1080001,بافت,108,بافت,29.2331,56.6022,geonames-iran-2026-09-19,142247,Bāft
1080002,بم,108,بم,29.106,58.357,geonames-iran-2026-09-19,141736,Bam
1080003,جیرفت,108,جیرفت,28.67806,57.74056,geonames-iran-2026-09-19,6925362,Jīroft
1080004,رفسنجان,108,رفسنجان,30.4067,55.9939,geonames-iran-2026-09-19,118994,Rafsanjān
1080005,زرند,108,زرند,30.81271,56.56399,geonames-iran-2026-09-19,111421,Zarand
1080006,سیرجان,108,سیرجان,29.45137,55.6809,geonames-iran-2026-09-19,114259,Sirjan
1080007,شهربابک,108,شهربابک,30.1165,55.1186,geonames-iran-2026-09-19,115781,Shahr-e Bābak
1080008,کرمان,108,کرمان,30.28321,57.07879,geonames-iran-2026-09-19,128234,Kerman
1080009,کهنوج,108,کهنوج,27.94034,57.69983,geonames-iran-2026-09-19,6961608,Kahnūj
1090004,تایباد,109,تایباد,34.74,60.7756,geonames-iran-2026-09-19,1159384,Tāybād
1090005,تربت حیدریه,109,تربت حیدریه,35.27401,59.21949,geonames-iran-2026-09-19,112646,Torbat-e Ḩeydarīyeh
1090006,تربت جام,109,تربت جام,35.244,60.6225,geonames-iran-2026-09-19,1159362,Torbat-e Jām
1090007,درگز,109,درگز,37.44447,59.10809,geonames-iran-2026-09-19,137585,Dargaz
1090008,سبزوار,109,سبزوار,36.2126,57.68191,geonames-iran-2026-09-19,118063,Sabzevar
1100001,اردستان,110,اردستان,33.37939,52.36981,geonames-iran-2026-09-19,143052,Ardestān
1100002,اصفهان,110,اصفهان,32.65246,51.67462,geonames-iran-2026-09-19,418863,Isfahan
1100003,خمینی شهر,110,خمینی شهر,32.6856,51.53609,geonames-iran-2026-09-19,418710,Khomeynī Shahr
1100004,خوانسار,110,خوانسار,33.22052,50.31497,geonames-iran-2026-09-19,127033,Khānsār
1100005,سمیرم,110,سمیرم,31.41667,51.56667,geonames-iran-2026-09-19,116406,Semīrom
1100006,فریدن,110,داران,32.98741,50.4108,geonames-iran-2026-09-19,137929,Dārān
1100007,فریدونشهر,110,فریدونشهر,32.94195,50.11991,geonames-iran-2026-09-19,134601,Fereydūnshahr
1100008,فلاورجان,110,فلاورجان,32.5553,51.50973,geonames-iran-2026-09-19,418851,Falāvarjān
1100009,شهرضا,110,شهرضا,32.00877,51.86407,geonames-iran-2026-09-19,418533,Shahreẕā
1110001,ایرانشهر,111,ایرانشهر,27.20245,60.68476,geonames-iran-2026-09-19,1160939,Iranshahr
1110002,چاه بهار,111,چاه بهار,25.2919,60.643,geonames-iran-2026-09-19,1161724,Chabahar
1110003,خاش,111,خاش,28.22107,61.21582,geonames-iran-2026-09-19,1160571,Khāsh
1110004,زابل,111,زابل,31.0306,61.4949,geonames-iran-2026-09-19,1113217,Zābol
1110005,زاهدان,111,زاهدان,29.4963,60.8629,geonames-iran-2026-09-19,1159301,Zahedan
1110006,سراوان,111,سراوان,27.37089,62.33096,geonames-iran-2026-09-19,1159713,Sarāvān
1110007,نیک شهر,111,نیک شهر,26.2258,60.2143,geonames-iran-2026-09-19,1160110,Nīkshahr
1110008,راسک,111,راسک,26.23682,61.39901,geonames-iran-2026-09-19,1159836,Rāsak
1110009,کنارک,111,کنارک,25.3604,60.3995,geonames-iran-2026-09-19,1160500,Konārak
1120001,بانه,112,بانه,35.9975,45.8853,geonames-iran-2026-09-19,141584,Bāneh
1120002,بیجار,112,بیجار,35.8668,47.60506,geonames-iran-2026-09-19,140521,Bījār
1120003,سقز,112,سقز,36.24992,46.2735,geonames-iran-2026-09-19,117392,Saqqez
1120004,سنندج,112,سنندج,35.31495,46.99883,geonames-iran-2026-09-19,117574,Sanandaj
1120005,قروه,112,قروه,35.1664,47.80564,geonames-iran-2026-09-19,119161,Qorveh
1120006,مریوان,112,مریوان,35.51829,46.18298,geonames-iran-2026-09-19,124778,Marīvān
1120007,دیواندره,112,دیواندره,35.9139,47.0239,geonames-iran-2026-09-19,136156,Dīvāndarreh
1120008,کامیاران,112,کامیاران,34.79535,46.93682,geonames-iran-2026-09-19,128905,Kāmyārān
1120009,سروآباد,112,سروآباد,35.3126,46.3669,geonames-iran-2026-09-19,116739,Sarvābād
1130001,تویسرکان,113,تویسرکان,34.551,48.44353,geonames-iran-2026-09-19,112422,Tūyserkān
1130002,ملایر,113,ملایر,34.30158,48.82166,geonames-iran-2026-09-19,125185,Malāyer
1130003,نهاوند,113,نهاوند,34.19088,48.37446,geonames-iran-2026-09-19,122915,Nahāvand
1130004,همدان,113,همدان,34.79922,48.51456,geonames-iran-2026-09-19,132144,Hamadān
1130005,کبودرآهنگ,113,کبودرآهنگ,35.20924,48.72341,geonames-iran-2026-09-19,129904,Kabūdarāhang
1130006,اسدآباد,113,اسدآباد,34.78241,48.12012,geonames-iran-2026-09-19,142872,Asadābād
1130007,بهار,113,بهار,34.9072,48.4414,geonames-iran-2026-09-19,142000,Bahār
1130008,رزن,113,رزن,35.38625,49.0334,geonames-iran-2026-09-19,118681,Razan
1130009,فامنین,113,فامنین,35.11593,48.97336,geonames-iran-2026-09-19,134906,Fāmenīn
1140001,بروجن,114,بروجن,31.96523,51.2873,geonames-iran-2026-09-19,140046,Borūjen
1140002,شهرکرد,114,شهرکرد,32.32612,50.8572,geonames-iran-2026-09-19,115770,Shahr-e Kord
1140003,فارسان,114,فارسان,32.25694,50.56095,geonames-iran-2026-09-19,134762,Fārsān
1140004,لردگان,114,لردگان,31.51338,50.82672,geonames-iran-2026-09-19,125609,Lordegān
1140005,اردل,114,اردل,31.99969,50.66231,geonames-iran-2026-09-19,143070,Ardal
1140006,کوهرنگ,114,چلگرد,32.4672,50.12229,geonames-iran-2026-09-19,138799,Chelgard
1140007,کیار,114,شلمزار,32.0465,50.81639,geonames-iran-2026-09-19,115607,Shalamzār
1140008,سامان,114,سامان,32.45014,50.91092,geonames-iran-2026-09-19,117627,Sāmān
1140009,بن,114,بن,32.54037,50.74515,geonames-iran-2026-09-19,140891,Ben
1150001,الیگودرز,115,الیگودرز,33.404,49.69179,geonames-iran-2026-09-19,143921,Alīgūdarz
1150002,بروجرد,115,بروجرد,33.8973,48.7516,geonames-iran-2026-09-19,140044,Borūjerd
1150003,خرم آباد,115,خرم آباد,33.48778,48.35583,geonames-iran-2026-09-19,127349,Khorramabad
1150004,دلفان,115,نورآباد,34.0734,47.9725,geonames-iran-2026-09-19,24851,Nūrābād
1150005,دورود,115,دورود,33.49218,49.0616,geonames-iran-2026-09-19,135878,Dorūd
1150006,کوهدشت,115,کوهدشت,33.53335,47.60999,geonames-iran-2026-09-19,126409,Kūhdasht
1150007,ازنا,115,ازنا,33.45643,49.45646,geonames-iran-2026-09-19,142497,Aznā
1150008,پلدختر,115,پلدختر,33.15249,47.71014,geonames-iran-2026-09-19,120949,Poldokhtar
1150009,سلسله,115,الشتر,33.86419,48.26258,geonames-iran-2026-09-19,144269,Aleshtar
1160001,ایلام,116,ایلام,33.6374,46.4227,geonames-iran-2026-09-19,130802,Īlām
1160002,دره شهر,116,دره شهر,33.14447,47.3799,geonames-iran-2026-09-19,137436,Darreh Shahr
1160003,دهلران,116,دهلران,32.6941,47.2679,geonames-iran-2026-09-19,136702,Dehlorān
1160004,چرداول,116,سرابله,33.76772,46.56578,geonames-iran-2026-09-19,117304,Sarābleh
1160005,مهران,116,مهران,33.1222,46.1646,geonames-iran-2026-09-19,124291,Mehrān
1160006,آبدانان,116,آبدانان,32.9926,47.4198,geonames-iran-2026-09-19,145233,Ābdānān
1160007,ایوان,116,ایوان,33.8272,46.3097,geonames-iran-2026-09-19,129929,Eyvān
1160008,ملکشاهی,116,ارکواز,33.3828,46.5983,geonames-iran-2026-09-19,120539,Arkavaz
1160009,سیروان,116,لومار,33.56522,46.814,geonames-iran-2026-09-19,401555,Lūmār
1170001,بویراحمد,117,یاسوج,30.66824,51.58796,geonames-iran-2026-09-19,66093,Yasuj
1170002,کهگیلویه,117,دهدشت,30.79337,50.56508,geonames-iran-2026-09-19,136987,Dehdasht
1170003,گچساران,117,دوگنبدان,30.3586,50.7981,geonames-iran-2026-09-19,136014,Dogonbadan
1170004,دنا,117,سی سخت,30.86393,51.4559,geonames-iran-2026-09-19,137013,Sīsakht
1170005,بهمیی,117,لیکک,30.8949,50.0931,geonames-iran-2026-09-19,125688,Līkak
1170006,چرام,117,چرام,30.75561,50.74522,geonames-iran-2026-09-19,138989,Charām
1170007,باشت,117,باشت,30.361,51.15735,geonames-iran-2026-09-19,141124,Bāsht
1170008,لنده,117,لنده,30.98215,50.4206,geonames-iran-2026-09-19,125726,Landeh
1170009,مارگون,117,مارگون,30.99237,51.08253,geonames-iran-2026-09-19,124771,Mārgown
1180001,بوشهر,118,بوشهر,28.96887,50.83657,geonames-iran-2026-09-19,139817,Bushehr
1180002,تنگستان,118,اهرم,28.8826,51.2746,geonames-iran-2026-09-19,144484,Ahram
1180003,دشتستان,118,برازجان,29.2699,51.2188,geonames-iran-2026-09-19,140097,Borāzjān
1180004,دشتی,118,خورموج,28.6543,51.38,geonames-iran-2026-09-19,127014,Khūrmūj
1180005,دیر,118,بندردیر,27.8399,51.9378,geonames-iran-2026-09-19,136280,Bandar-e Deyr
1180006,کنگان,118,بندرکنگان,27.83434,52.06306,geonames-iran-2026-09-19,128847,Bandar-e Kangān
1180007,گناوه,118,بندرگناوه,29.5791,50.517,geonames-iran-2026-09-19,134217,Bandar-e Genāveh
1180008,دیلم,118,بندردیلم,30.0542,50.159,geonames-iran-2026-09-19,141676,Bandar-e Deylam
1180009,جم,118,جم,27.82977,52.32518,geonames-iran-2026-09-19,130451,Jam
1190001,ابهر,119,ابهر,36.1468,49.218,geonames-iran-2026-09-19,145034,Abhar
