id,name,slug,province_id
1220002,بندر عباس,بندر-عباس,122
1220003,بندر لنگه,بندر-لنگه,122
1220004,قشم,قشم,122
1220005,میناب,میناب,122
1220006,جاسک,جاسک,122
1220007,رودان,رودان,122
1220008,حاجی آباد,حاجی-آباد,122
1220009,بستک,بستک,122
1230001,تهران,تهران,123
1230002,دماوند,دماوند,123
1230003,ری,ری,123
1230004,شمیرانات,شمیرانات,123
1230006,ورامین,ورامین,123
1230009,شهریار,شهریار,123
1240001,اردبیل,اردبیل,124
1240002,بیله سوار,بیله-سوار,124
1240003,خلخال,خلخال,124
1240004,مشگین شهر,مشگین-شهر,124
1240005,گرمی,گرمی,124
1240006,پارس آباد,پارس-آباد,124
1240007,کوثر,کوثر,124
1240008,نمین,نمین,124
1240009,نیر,نیر,124
1250001,قم,قم,125
1250002,جعفرآباد,جعفرآباد,125
1250003,کهک,کهک,125
1260001,بویین زهرا,بویین-زهرا,126
1260002,تاکستان,تاکستان,126
1260003,قزوین,قزوین,126
1260004,آبیک,آبیک,126
1260005,البرز,البرز,126
1260006,آوج,آوج,126
1270001,بندرگز,بندرگز,127
1270002,ترکمن,ترکمن,127
1270003,علی آباد کتول,علی-آباد-کتول,127
1270004,کردکوی,کردکوی,127
1270005,گرگان,گرگان,127
1270006,گنبدکاووس,گنبدکاووس,127
1270007,مینودشت,مینودشت,127
1270008,آق قلا,آق-قلا,127
1270009,کلاله,کلاله,127
1280001,اسفراین,اسفراین,128
1280002,بجنورد,بجنورد,128
1280003,جاجرم,جاجرم,128
1280004,شیروان,شیروان,128
1280005,فاروج,فاروج,128
1280006,سملقان,سملقان,128
1280007,گرمه,گرمه,128
1280008,راز و جرگلان,راز-و-جرگلان,128
1280009,بام و صفی آباد,بام-و-صفی-آباد,128
1290001,بیرجند,بیرجند,129
1290002,درمیان,درمیان,129
1290003,سربیشه,سربیشه,129
1290004,قاینات,قاینات,129
1290005,نهبندان,نهبندان,129
1290006,سرایان,سرایان,129
1290007,فردوس,فردوس,129
1290008,بشرویه,بشرویه,129
1290009,زیرکوه,زیرکوه,129
1300001,کرج,کرج,130
1300002,ساوجبلاغ,ساوجبلاغ,130
1300003,نظرآباد,نظرآباد,130
1300004,طالقان,طالقان,130
1300005,اشتهارد,اشتهارد,130
1300006,فردیس,فردیس,130
1300007,چهارباغ,چهارباغ,130
10000010,زرندیه,زرندیه,100
10000011,کمیجان,کمیجان,100
10000012,خنداب,خنداب,100
10000013,فراهان,فراهان,100
10100010,لنگرود,لنگرود,101
10100011,لاهیجان,لاهیجان,101
10100012,شفت,شفت,101
10100013,املش,املش,101
10100014,رضوانشهر,رضوانشهر,101
10100015,سیاهکل,سیاهکل,101
10100016,ماسال,ماسال,101
10100017,خمام,خمام,101
10200010,قایم شهر,قایم-شهر,102
10200014,نور,نور,102
10200015,نوشهر,نوشهر,102
10200016,بابلسر,بابلسر,102
10200018,محمودآباد,محمودآباد,102
10200019,نکا,نکا,102
10200020,چالوس,چالوس,102
10200021,جویبار,جویبار,102
10200022,گلوگاه,گلوگاه,102
10200023,فریدونکنار,فریدونکنار,102
10200024,عباس آباد,عباس-آباد,102
10200025,میاندورود,میاندورود,102
10200026,سیمرغ,سیمرغ,102
10200027,سوادکوه شمالی,سوادکوه-شمالی,102
10200028,کلاردشت,کلاردشت,102
10300010,میانه,میانه,103
10300011,هشترود,هشترود,103
10300012,بناب,بناب,103
10300013,بستان آباد,بستان-آباد,103
10300014,شبستر,شبستر,103
10300015,کلیبر,کلیبر,103
10300016,هریس,هریس,103
10300019,جلفا,جلفا,103
10300020,ملکان,ملکان,103
10300021,آذرشهر,آذرشهر,103
10300022,اسکو,اسکو,103
10300023,چاراویماق,چاراویماق,103
10300024,ورزقان,ورزقان,103
10300025,عجب شیر,عجب-شیر,103
10300026,خداآفرین,خداآفرین,103
10300027,هوراند,هوراند,103
10300028,لیلان,لیلان,103
10400010,بوکان,بوکان,104
10400011,شاهین دژ,شاهین-دژ,104
10400012,تکاب,تکاب,104
10400013,اشنویه,اشنویه,104
10400014,چالدران,چالدران,104
10400015,پلدشت,پلدشت,104
10400016,چایپاره,چایپاره,104
10400017,شوط,شوط,104
10400018,چهاربرج,چهاربرج,104
10400019,باروق,باروق,104
10400020,میرآباد,میرآباد,104
10500010,صحنه,صحنه,105
10500011,هرسین,هرسین,105
10500012,ثلاث باباجانی,ثلاث-باباجانی,105
10500013,دالاهو,دالاهو,105
10500014,روانسر,روانسر,105
10600010,رامهرمز,رامهرمز,106
10600011,شادگان,شادگان,106
10600012,شوشتر,شوشتر,106
10600013,مسجدسلیمان,مسجدسلیمان,106
10600014,شوش,شوش,106
10600015,باغ ملک,باغ-ملک,106
10600016,امیدیه,امیدیه,106
10600017,لالی,لالی,106
10600018,هندیجان,هندیجان,106
10600019,رامشیر,رامشیر,106
10600020,گتوند,گتوند,106
10600021,اندیکا,اندیکا,106
10600022,هفتکل,هفتکل,106
10600023,هویزه,هویزه,106
10600024,باوی,باوی,106
10600025,حمیدیه,حمیدیه,106
10600026,آغاجاری,آغاجاری,106
10600027,کارون,کارون,106
10600028,کرخه,کرخه,106
10600029,دزپارت,دزپارت,106
10600030,صیدون,صیدون,106
10700010,کازرون,کازرون,107
10700011,لارستان,لارستان,107
10700012,مرودشت,مرودشت,107
10700013,ممسنی,ممسنی,107
10700014,نی ریز,نی-ریز,107
10700015,لامرد,لامرد,107
10700016,بوانات,بوانات,107
10700017,ارسنجان,ارسنجان,107
10700018,خرم بید,خرم-بید,107
10700019,زرین دشت,زرین-دشت,107
10700020,قیروکارزین,قیروکارزین,107
10700021,مهر,مهر,107
10700022,فراشبند,فراشبند,107
10700023,پاسارگاد,پاسارگاد,107
10700024,خنج,خنج,107
10700025,سروستان,سروستان,107
10700026,رستم,رستم,107
10700027,گراش,گراش,107
10700028,کوار,کوار,107
10700029,خرامه,خرامه,107
10700030,زرقان,زرقان,107
10700031,بیضا,بیضا,107
10700032,سرچهان,سرچهان,107
10700033,کوه چنار,کوه-چنار,107
10700034,خفر,خفر,107
10700035,بختگان,بختگان,107
10700036,اوز,اوز,107
10700037,جویم,جویم,107
10800010,بردسیر,بردسیر,108
10800011,راور,راور,108
10800012,عنبرآباد,عنبرآباد,108
10800013,منوجان,منوجان,108
10800014,کوهبنان,کوهبنان,108
10800015,رودبارجنوب,رودبارجنوب,108
10800016,قلعه گنج,قلعه-گنج,108
10800017,ریگان,ریگان,108
10800018,رابر,رابر,108
10800019,فهرج,فهرج,108
10800020,انار,انار,108
10800021,نرماشیر,نرماشیر,108
10800022,فاریاب,فاریاب,108
10800023,ارزوییه,ارزوییه,108
10800024,گنبکی,گنبکی,108
10800025,جازموریان,جازموریان,108
10900013,قوچان,قوچان,109
10900014,کاشمر,کاشمر,109
10900015,گناباد,گناباد,109
10900016,مشهد,مشهد,109
10900017,نیشابور,نیشابور,109
10900018,چناران,چناران,109
10900019,خواف,خواف,109
10900020,سرخس,سرخس,109
10900022,فریمان,فریمان,109
10900023,بردسکن,بردسکن,109
10900027,رشتخوار,رشتخوار,109
10900028,کلات,کلات,109
10900029,خلیل آباد,خلیل-آباد,109
10900030,مه ولات,مه-ولات,109
10900031,بجستان,بجستان,109
10900032,طرقبه شاندیز,طرقبه-شاندیز,109
10900033,فیروزه,فیروزه,109
10900034,جغتای,جغتای,109
10900035,زاوه,زاوه,109
10900036,جوین,جوین,109
10900037,باخرز,باخرز,109
10900038,خوشاب,خوشاب,109
10900039,داورزن,داورزن,109
10900040,صالح آباد,صالح-آباد,109
10900041,کوهسرخ,کوهسرخ,109
10900042,زبرخان,زبرخان,109
10900043,ششتمد,ششتمد,109
10900044,گلبهار,گلبهار,109
10900045,میان جلگه,میان-جلگه,109
11000010,کاشان,کاشان,110
11000011,گلپایگان,گلپایگان,110
11000012,لنجان,لنجان,110
11000013,نایین,نایین,110
11000014,نجف آباد,نجف-آباد,110
11000015,نطنز,نطنز,110
11000016,شاهین شهرو میمه,شاهین-شهرو-میمه,110
11000017,مبارکه,مبارکه,110
11000018,آران و بیدگل,آران-و-بیدگل,110
11000019,تیران وکرون,تیران-وکرون,110
11000020,چادگان,چادگان,110
11000021,دهاقان,دهاقان,110
11000022,برخوار,برخوار,110
11000023,خور و بیابانک,خور-و-بیابانک,110
11000024,بویین و میاندشت,بویین-و-میاندشت,110
11000025,کوهپایه,کوهپایه,110
11000026,جرقویه,جرقویه,110
11000027,ورزنه,ورزنه,110
11000028,هرند,هرند,110
11100010,زهک,زهک,111
11100011,هیرمند,هیرمند,111
11100012,دلگان,دلگان,111
11100013,مهرستان,مهرستان,111
11100014,سیب و سوران,سیب-و-سوران,111
11100015,نیمروز,نیمروز,111
11100016,هامون,هامون,111
11100017,میرجاوه,میرجاوه,111
11100018,قصرقند,قصرقند,111
11100019,فنوج,فنوج,111
11100020,بمپور,بمپور,111
11100021,تفتان,تفتان,111
11100022,دشتیاری,دشتیاری,111
11100023,سرباز,سرباز,111
11100024,گلشن,گلشن,111
11100025,لاشار,لاشار,111
11100026,زرآباد,زرآباد,111
11200010,دهگلان,دهگلان,112
11300010,درگزین,درگزین,113
