id,name,slug,province_id,city_id
1000004620,مرکزی,مرکزی,1000000024,1000000339
1000004638,خسروشاه,خسروشاه,1000000024,1000000339
1002655148,باسمنج,باسمنج,1000000024,1000000339
1000004646,مرکزی,مرکزی,1000000024,1000000347
1000004653,سراجو,سراجو,1000000024,1000000347
1000004661,مرکزی,مرکزی,1000000024,1000000354
1000372639,فندقلو,فندقلو,1000000024,1000000354
1000004687,مرکزی,مرکزی,1000000024,1000000362
1000004695,مهربان,مهربان,1000000024,1000000362
1000004703,مرکزی,مرکزی,1000000024,1000000370
1000004711,یامچی,یامچی,1000000024,1000000370
1002574422,کشکسرای,کشکسرای,1000000024,1000000370
1000004729,مرکزی,مرکزی,1000000024,1000000388
1000004737,کاغذکنان,کاغذکنان,1000000024,1000000388
1000004745,ترکمانچای,ترکمانچای,1000000024,1000000388
1000004752,کندوان,کندوان,1000000024,1000000388
1000004760,مرکزی,مرکزی,1000000024,1000000396
1000004778,نظرکهریزی,نظرکهریزی,1000000024,1000000396
1000004786,مرکزی,مرکزی,1000000024,1000000404
1000004794,آبش احمد,آبش-احمد,1000000024,1000000404
1000004802,مرکزی,مرکزی,1000000024,1000000412
1000004810,خواجه,خواجه,1000000024,1000000412
1000004828,مرکزی,مرکزی,1000000024,1000000420
1000004836,مرکزی,مرکزی,1000000024,1000000438
1000004844,تیکمه داش,تیکمه-داش,1000000024,1000000438
1000004851,مرکزی,مرکزی,1000000024,1000000446
1000004869,صوفیان,صوفیان,1000000024,1000000446
1000004877,تسوج,تسوج,1000000024,1000000446
1000004885,مرکزی,مرکزی,1000000024,1000000453
1000004893,سیه رود,سیه-رود,1000000024,1000000453
1000004901,مرکزی,مرکزی,1000000024,1000000461
1000004919,لیلان,لیلان,1000000024,1000000461
1000004927,ممقان,ممقان,1000000024,1000000479
1000004935,گوگان,گوگان,1000000024,1000000479
1000004943,حومه,حومه,1000000024,1000000479
1000004950,مرکزی,مرکزی,1000000024,1000000487
1000004968,ایلخچی,ایلخچی,1000000024,1000000487
1000004976,مرکزی,مرکزی,1000000024,1000000495
1000004984,شادیان,شادیان,1000000024,1000000495
1000004992,مرکزی,مرکزی,1000000024,1000000503
