county_id,county_name,province_id,center_name,latitude,longitude,source_id
1090006,تربت جام,109,تربت جام,35.244,60.6225,geonames-iran-2026-09-19
1090007,درگز,109,درگز,37.44447,59.10809,geonames-iran-2026-09-19
1090008,سبزوار,109,سبزوار,36.2126,57.68191,geonames-iran-2026-09-19
1100001,اردستان,110,اردستان,33.37939,52.36981,geonames-iran-2026-09-19
1100002,اصفهان,110,اصفهان,32.65246,51.67462,geonames-iran-2026-09-19
1100003,خمینی شهر,110,خمینی شهر,32.6856,51.53609,geonames-iran-2026-09-19
1100004,خوانسار,110,خوانسار,33.22052,50.31497,geonames-iran-2026-09-19
1100005,سمیرم,110,سمیرم,31.41667,51.56667,geonames-iran-2026-09-19
1100006,فریدن,110,داران,32.98741,50.4108,geonames-iran-2026-09-19
1100007,فریدونشهر,110,فریدونشهر,32.94195,50.11991,geonames-iran-2026-09-19
1100008,فلاورجان,110,فلاورجان,32.5553,51.50973,geonames-iran-2026-09-19
1100009,شهرضا,110,شهرضا,32.00877,51.86407,geonames-iran-2026-09-19
1110001,ایرانشهر,111,ایرانشهر,27.20245,60.68476,geonames-iran-2026-09-19
1110002,چاه بهار,111,چاه بهار,25.2919,60.643,geonames-iran-2026-09-19
1110003,خاش,111,خاش,28.22107,61.21582,geonames-iran-2026-09-19
1110004,زابل,111,زابل,31.0306,61.4949,geonames-iran-2026-09-19
1110005,زاهدان,111,زاهدان,29.4963,60.8629,geonames-iran-2026-09-19
1110006,سراوان,111,سراوان,27.37089,62.33096,geonames-iran-2026-09-19
1110007,نیک شهر,111,نیک شهر,26.2258,60.2143,geonames-iran-2026-09-19
1110008,راسک,111,راسک,26.23682,61.39901,geonames-iran-2026-09-19
1110009,کنارک,111,کنارک,25.3604,60.3995,geonames-iran-2026-09-19
1120001,بانه,112,بانه,35.9975,45.8853,geonames-iran-2026-09-19
1120002,بیجار,112,بیجار,35.8668,47.60506,geonames-iran-2026-09-19
1120003,سقز,112,سقز,36.24992,46.2735,geonames-iran-2026-09-19
1120004,سنندج,112,سنندج,35.31495,46.99883,geonames-iran-2026-09-19
1120005,قروه,112,قروه,35.1664,47.80564,geonames-iran-2026-09-19
1120006,مریوان,112,مریوان,35.51829,46.18298,geonames-iran-2026-09-19
1120007,دیواندره,112,دیواندره,35.9139,47.0239,geonames-iran-2026-09-19
1120008,کامیاران,112,کامیاران,34.79535,46.93682,geonames-iran-2026-09-19
1120009,سروآباد,112,سروآباد,35.3126,46.3669,geonames-iran-2026-09-19
1130001,تویسرکان,113,تویسرکان,34.551,48.44353,geonames-iran-2026-09-19
1130002,ملایر,113,ملایر,34.30158,48.82166,geonames-iran-2026-09-19
1130003,نهاوند,113,نهاوند,34.19088,48.37446,geonames-iran-2026-09-19
1130004,همدان,113,همدان,34.79922,48.51456,geonames-iran-2026-09-19
1130005,کبودرآهنگ,113,کبودرآهنگ,35.20924,48.72341,geonames-iran-2026-09-19
1130006,اسدآباد,113,اسدآباد,34.78241,48.12012,geonames-iran-2026-09-19
1130007,بهار,113,بهار,34.9072,48.4414,geonames-iran-2026-09-19
1130008,رزن,113,رزن,35.38625,49.0334,geonames-iran-2026-09-19
1130009,فامنین,113,فامنین,35.11593,48.97336,geonames-iran-2026-09-19
1140001,بروجن,114,بروجن,31.96523,51.2873,geonames-iran-2026-09-19
1140002,شهرکرد,114,شهرکرد,32.32612,50.8572,geonames-iran-2026-09-19
1140003,فارسان,114,فارسان,32.25694,50.56095,geonames-iran-2026-09-19
1140004,لردگان,114,لردگان,31.51338,50.82672,geonames-iran-2026-09-19
1140005,اردل,114,اردل,31.99969,50.66231,geonames-iran-2026-09-19
1140006,کوهرنگ,114,چلگرد,32.4672,50.12229,geonames-iran-2026-09-19
1140007,کیار,114,شلمزار,32.0465,50.81639,geonames-iran-2026-09-19
1140008,سامان,114,سامان,32.45014,50.91092,geonames-iran-2026-09-19
1140009,بن,114,بن,32.54037,50.74515,geonames-iran-2026-09-19
1150001,الیگودرز,115,الیگودرز,33.404,49.69179,geonames-iran-2026-09-19
1150002,بروجرد,115,بروجرد,33.8973,48.7516,geonames-iran-2026-09-19
1150003,خرم آباد,115,خرم آباد,33.48778,48.35583,geonames-iran-2026-09-19
1150004,دلفان,115,نورآباد,34.0734,47.9725,geonames-iran-2026-09-19
1150005,دورود,115,دورود,33.49218,49.0616,geonames-iran-2026-09-19
1150006,کوهدشت,115,کوهدشت,33.53335,47.60999,geonames-iran-2026-09-19
1150007,ازنا,115,ازنا,33.45643,49.45646,geonames-iran-2026-09-19
1150008,پلدختر,115,پلدختر,33.15249,47.71014,geonames-iran-2026-09-19
1150009,سلسله,115,الشتر,33.86419,48.26258,geonames-iran-2026-09-19
