رديف,نوع,نام مصوب,استان,شهرستان,بخش,دهستان,کد سلسله مراتبي,شناسه ملي
1,استان,آذربايجان شرقي,10,1000000024,
2 شهرستان تبريز آذربايجان شرقي 1010 1000000339
3 بخش مرکزي آذربايجان شرقي تبريز 101010 1000004620
4 دهستان اسپران آذربايجان شرقي تبريز مرکزي 10101010 1000015204
5 دهستان آجي چاي آذربايجان شرقي تبريز مرکزي 10101011 1000015212
6 دهستان سردصحرا آذربايجان شرقي تبريز مرکزي 10101012 1000015220
7 شهر تبريز آذربايجان شرقي تبريز مرکزي 101010500 1000041093
8 شهر سردرود آذربايجان شرقي تبريز مرکزي 101010502 1000041119
9 بخش خسروشاه آذربايجان شرقي تبريز 101011 1000004638
10 دهستان الهيجان آذربايجان شرقي تبريز خسروشاه 10101110 1000015246
11 دهستان تازه کند آذربايجان شرقي تبريز خسروشاه 10101111 1000015253
12 شهر خسروشاه آذربايجان شرقي تبريز خسروشاه 101011500 1000041127
13 بخش باسمنج آذربايجان شرقي تبريز 101012 1002655148
14 دهستان ميدان چاي آذربايجان شرقي تبريز باسمنج 10101210 1000015238
15 دهستان مهران رود آذربايجان شرقي تبريز باسمنج 10101211 1002655130
16 شهر باسمنج آذربايجان شرقي تبريز باسمنج 101012500 1000041101
17 شهرستان مراغه آذربايجان شرقي 1011 1000000347
18 بخش مرکزي آذربايجان شرقي مراغه 101110 1000004646
19 دهستان سراجوي شمالي آذربايجان شرقي مراغه مرکزي 10111010 1000015261
20 دهستان سراجوي غربي آذربايجان شرقي مراغه مرکزي 10111011 1000015279
21 دهستان قره ناز آذربايجان شرقي مراغه مرکزي 10111012 1000015287
22 شهر مراغه آذربايجان شرقي مراغه مرکزي 101110500 1000041135
23 بخش سراجو آذربايجان شرقي مراغه 101111 1000004653
24 دهستان سراجوي جنوبي آذربايجان شرقي مراغه سراجو 10111110 1000015295
25 دهستان سراجوي شرقي آذربايجان شرقي مراغه سراجو 10111111 1000015303
26 دهستان قوري چاي غربي آذربايجان شرقي مراغه سراجو 10111112 1000015311


27 شهر خداجو آذربايجان شرقي مراغه سراجو 101111500 1000041143
28 شهرستان اهر آذربايجان شرقي 1012 1000000354
29 بخش مرکزي آذربايجان شرقي اهر 101210 1000004661
30 دهستان آذغان آذربايجان شرقي اهر مرکزي 10121010 1000015329
31 دهستان اوچ هاچا آذربايجان شرقي اهر مرکزي 10121011 1000015337
32 دهستان بزکش آذربايجان شرقي اهر مرکزي 10121012 1000015345
33 دهستان گويجه بل آذربايجان شرقي اهر مرکزي 10121014 1000015360
34 دهستان ورگهان آذربايجان شرقي اهر مرکزي 10121015 1000015378
35 شهر اهر آذربايجان شرقي اهر مرکزي 101210500 1000041150
36 بخش فندقلو آذربايجان شرقي اهر 101213 1000372639
37 دهستان قشالق آذربايجان شرقي اهر فندقلو 10121310 1000015352
38 دهستان نقدوز آذربايجان شرقي اهر فندقلو 10121311 1000372613
39 شهرستان سراب آذربايجان شرقي 1013 1000000362
40 بخش مرکزي آذربايجان شرقي سراب 101310 1000004687
41 دهستان ابرغان آذربايجان شرقي سراب مرکزي 10131010 1000015410
42 دهستان آغميون آذربايجان شرقي سراب مرکزي 10131011 1000015428
43 دهستان حومه آذربايجان شرقي سراب مرکزي 10131012 1000015436
44 دهستان رازليق آذربايجان شرقي سراب مرکزي 10131013 1000015444
45 دهستان صائين آذربايجان شرقي سراب مرکزي 10131014 1000015451
46 دهستان ماليعقوب آذربايجان شرقي سراب مرکزي 10131015 1000015469
47 شهر سراب آذربايجان شرقي سراب مرکزي 101310500 1000041176
48 بخش مهربان آذربايجان شرقي سراب 101311 1000004695
49 دهستان شربيان آذربايجان شرقي سراب مهربان 10131110 1000015477
50 دهستان اردالن آذربايجان شرقي سراب مهربان 10131111 1000015485
51 دهستان آالن برآغوش آذربايجان شرقي سراب مهربان 10131112 1000015493
52 شهر مهربان آذربايجان شرقي سراب مهربان 101311500 1000041184


53 شهر شربيان آذربايجان شرقي سراب مهربان 101311501 1000041192
54 شهر دوزدوزان آذربايجان شرقي سراب مهربان 101311502 1000041200
55 شهرستان مرند آذربايجان شرقي 1014 1000000370
56 بخش مرکزي آذربايجان شرقي مرند 101410 1000004703
